Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
3/17/1915 18:45,Japan,42.1,143.6,35,7.2ÿ{\displaystyle m_{b}},,,2,2,,,
6/23/1915 4:56,United States,32.8,-115.5,,6.2 UK,,,6,6,,,
9/7/1915 1:20,El Salvador,14,-89,80,7.4ÿ{\displaystyle m_{b}},,,7,7,,,
12/3/1915 2:39,China,29.5,91.5,0,7.0ÿ{\displaystyle M_{s}},,,170,170,,,
8/28/1916 7:27,Taiwan (seeÿ1916?17 Nantou earthquakes),23.9,120.5,5,7.2ÿMJ,,,16,16,,,
11/14/1916 22:31,Taiwan (seeÿ1916?17 Nantou earthquakes),24,121,,6.0 UK,,,1,1,,,
1/4/1917 16:55,Taiwan (seeÿ1916?17 Nantou earthquakes,21.9,120.9,0,6.5ÿ{\displaystyle M_{s}},,,54,54,,,
1/21/1917 23:11,Indonesia,-7,116,,6.6 UK,T,,15000,15000,,,
1/24/1917 0:48,China,31,114,0,6.5ÿ{\displaystyle M_{s}},,,,,,,
1/31/1917 3:39,Philippines,6,125,,6.4 UK,,,7,7,,,
7/30/1917 23:54,China,29,104,0,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,1879,1879,1800,,
8/31/1917 11:36,Colombia,4,-74,0,7.1ÿ{\displaystyle M_{s}},,,,,,,
2/13/1918 6:07,China (seeÿ1918 Shantou earthquake),23.54,117.243,15,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,,,10000,,
4/21/1918 22:32,United States,33.812,-117.44,15,6.8 UK,,,1,1,,,
